20140508 0.225624	0	4019	203	4018	74	4018	949748	2.4654e+06
20140508 0.225624	500	4019	150	4018	63	4018	949928	2.46528e+06
20140508 0.225625	0	4019	211	4018	52	4018	949964	2.46529e+06
20140508 0.225626	0	4019	377	4018	46	4018	950062	2.46525e+06
20140508 0.225626	500	4019	444	4018	47	4018	950278	2.46519e+06
20140508 0.225627	0	4019	441	4018	62	4019	950328	2.46516e+06
20140508 0.225628	0	4019	431	4018	54	4019	950368	2.46517e+06
20140508 0.225628	500	4019	374	4018	24	4018	950688	2.46508e+06
20140508 0.225629	500	4019	221	4018	16	4019	951098	2.46488e+06
20140508 0.22563	0	4018	10	4017	350	4018	951170	2.46489e+06
20140508 0.22563	500	4018	9	4017	350	4018	951500	2.46469e+06
20140508 0.225631	0	4019	190	4018	3	4018	951558	2.46468e+06
20140508 0.225631	500	4019	258	4018	153	4019	951736	2.46462e+06
20140508 0.225632	0	4019	248	4018	155	4019	951750	2.46461e+06
20140508 0.225632	500	4019	284	4018	147	4019	951786	2.4646e+06
20140508 0.225633	500	4019	228	4018	121	4019	951940	2.46453e+06
20140508 0.225634	0	4019	217	4018	155	4018	951976	2.46452e+06
20140508 0.225634	500	4019	185	4018	162	4019	952002	2.46453e+06
20140508 0.225635	0	4019	172	4018	282	4019	952026	2.46453e+06
20140508 0.225636	0	4019	147	4018	307	4019	952094	2.46454e+06
20140508 0.225636	500	4019	130	4018	310	4019	952138	2.46455e+06
20140508 0.225637	0	4019	82	4018	289	4019	952198	2.46452e+06
20140508 0.225637	500	4020	377	4019	166	4019	952388	2.46466e+06
20140508 0.225638	0	4020	388	4019	176	4019	952402	2.46467e+06
20140508 0.225639	0	4020	408	4019	110	4019	952596	2.46484e+06
20140508 0.22564	0	4020	407	4019	101	4019	952618	2.46485e+06
20140508 0.22564	500	4020	83	4019	245	4019	953322	2.46465e+06
20140508 0.225641	500	4020	1	4019	278	4020	953588	2.46476e+06
20140508 0.225642	0	4021	475	4020	13	4020	953642	2.46475e+06
20140508 0.225643	0	4021	484	4020	48	4020	953740	2.46476e+06
20140508 0.225643	500	4021	439	4020	25	4020	953782	2.46474e+06
20140508 0.225644	0	4021	393	4020	62	4020	953824	2.4647e+06
20140508 0.225645	0	4021	302	4020	110	4021	953878	2.46469e+06
20140508 0.225645	500	4021	300	4020	192	4021	953892	2.46469e+06
20140508 0.225646	0	4021	328	4020	193	4021	953928	2.46469e+06
20140508 0.225646	500	4021	372	4020	159	4021	954042	2.46469e+06
20140508 0.225647	0	4021	351	4020	155	4020	954188	2.4646e+06
20140508 0.225647	500	4021	364	4020	151	4020	954202	2.4646e+06
20140508 0.225648	0	4021	458	4020	244	4021	954220	2.4646e+06
20140508 0.225648	500	4021	470	4020	238	4020	954234	2.4646e+06
20140508 0.225649	0	4021	460	4020	239	4021	954264	2.46459e+06
20140508 0.22565	0	4021	452	4020	221	4021	954370	2.46454e+06
20140508 0.22565	500	4021	451	4020	223	4020	954416	2.4645e+06
20140508 0.225651	0	4021	540	4020	209	4021	954478	2.46446e+06
20140508 0.225651	500	4021	537	4020	164	4021	954500	2.46446e+06
20140508 0.225652	500	4020	98	4019	307	4020	954976	2.46451e+06
20140508 0.225653	500	4020	109	4019	295	4020	955130	2.46454e+06
20140508 0.225654	0	4020	102	4019	287	4020	955164	2.46454e+06
20140508 0.225654	500	4020	87	4019	251	4020	955278	2.46443e+06
20140508 0.225655	0	4020	102	4019	252	4020	955336	2.46444e+06
20140508 0.225655	500	4020	103	4019	242	4020	955356	2.46443e+06
20140508 0.225656	0	4020	86	4019	236	4020	955422	2.46445e+06
20140508 0.225657	0	4020	31	4019	214	4020	955616	2.46443e+06
20140508 0.225657	500	4020	27	4019	212	4019	955646	2.46444e+06
20140508 0.225658	500	4020	10	4019	220	4020	955906	2.46426e+06
20140508 0.225659	0	4021	489	4020	6	4020	955940	2.46426e+06
20140508 0.225659	500	4020	84	4019	212	4020	955966	2.46427e+06
20140508 0.2257	0	4020	181	4019	25	4020	956180	2.46412e+06
20140508 0.2257	500	4020	245	4019	59	4020	956320	2.46406e+06
20140508 0.225701	0	4020	250	4019	72	4019	956360	2.46405e+06
20140508 0.225702	0	4020	289	4018	343	4020	956558	2.46391e+06
20140508 0.225702	500	4020	297	4019	9	4019	956568	2.46392e+06
20140508 0.225703	0	4020	226	4019	11	4019	956722	2.46385e+06
20140508 0.225703	500	4020	188	4019	8	4020	956754	2.46383e+06
20140508 0.225704	0	4019	19	4018	343	4019	956786	2.46383e+06
20140508 0.225704	500	4020	237	4019	54	4019	956854	2.46383e+06
20140508 0.225705	0	4020	246	4019	10	4019	956978	2.46382e+06
20140508 0.225705	500	4020	246	4019	100	4019	957024	2.46381e+06
20140508 0.225706	0	4020	248	4019	45	4019	957136	2.46384e+06
20140508 0.225706	500	4020	251	4019	92	4019	957166	2.46386e+06
20140508 0.225707	500	4020	205	4019	269	4019	957332	2.46385e+06
20140508 0.225708	0	4020	202	4019	291	4020	957342	2.46385e+06
20140508 0.225708	500	4020	208	4019	275	4020	957384	2.46385e+06
20140508 0.225709	0	4020	211	4019	268	4019	957386	2.46385e+06
20140508 0.225709	500	4020	217	4019	264	4019	957398	2.46385e+06
20140508 0.22571	500	4020	220	4019	208	4019	957522	2.46384e+06
20140508 0.225711	0	4020	238	4019	124	4019	957674	2.46395e+06
20140508 0.225711	500	4020	305	4019	43	4020	957748	2.46397e+06
20140508 0.225712	0	4020	301	4019	27	4019	957768	2.46398e+06
20140508 0.225712	500	4020	299	4019	51	4020	957826	2.46396e+06
20140508 0.225713	0	4020	290	4019	63	4019	957862	2.46395e+06
20140508 0.225713	500	4020	274	4019	61	4019	957866	2.46395e+06
20140508 0.225714	0	4020	398	4019	98	4019	957874	2.46395e+06
20140508 0.225714	500	4020	398	4019	187	4020	957890	2.46394e+06
20140508 0.225715	0	4020	329	4019	214	4020	958048	2.46399e+06
20140508 0.225715	500	4020	375	4019	283	4020	958070	2.46398e+06
20140508 0.225716	0	4020	368	4019	279	4019	958096	2.46399e+06
20140508 0.225716	500	4020	367	4019	319	4020	958098	2.46399e+06
20140508 0.225717	0	4020	370	4019	323	4020	958104	2.46399e+06
20140508 0.225717	500	4020	383	4019	306	4019	958106	2.46399e+06
20140508 0.225718	0	4020	388	4019	306	4019	958112	2.46398e+06
20140508 0.225718	500	4020	349	4019	297	4020	958212	2.46391e+06
20140508 0.225719	0	4020	350	4019	295	4019	958222	2.46391e+06
20140508 0.225719	500	4020	341	4019	267	4020	958260	2.46387e+06
20140508 0.22572	0	4020	365	4019	220	4019	958280	2.46386e+06
20140508 0.22572	500	4020	372	4019	195	4019	958318	2.46383e+06
20140508 0.225721	0	4020	387	4019	206	4019	958398	2.46377e+06
20140508 0.225721	500	4020	586	4019	206	4020	958404	2.46377e+06
20140508 0.225722	0	4020	582	4019	249	4019	958448	2.46378e+06
20140508 0.225722	500	4020	581	4019	237	4019	958486	2.46379e+06
20140508 0.225723	0	4020	574	4019	233	4019	958518	2.4638e+06
20140508 0.225723	500	4020	609	4019	222	4019	958540	2.46381e+06
20140508 0.225724	0	4020	612	4019	269	4019	958556	2.46382e+06
20140508 0.225724	500	4020	641	4019	127	4019	958862	2.46376e+06
20140508 0.225725	500	4019	332	4018	431	4018	959160	2.4637e+06
20140508 0.225726	0	4019	436	4018	380	4019	959174	2.4637e+06
20140508 0.225726	500	4019	308	4018	242	4018	959470	2.46359e+06
20140508 0.225727	0	4019	309	4018	235	4018	959484	2.46359e+06
20140508 0.225727	500	4019	180	4018	233	4018	959930	2.46338e+06
20140508 0.225728	0	4019	219	4018	225	4018	959944	2.46339e+06
20140508 0.225728	500	4019	248	4018	206	4019	960004	2.46342e+06
20140508 0.225729	0	4019	242	4018	212	4018	960106	2.46337e+06
20140508 0.225729	500	4019	249	4018	202	4019	960122	2.46336e+06
20140508 0.22573	0	4019	254	4018	201	4019	960126	2.46336e+06
20140508 0.225731	0	4019	298	4018	323	4018	960212	2.46333e+06
20140508 0.225731	500	4019	337	4018	327	4019	960236	2.46335e+06
20140508 0.225732	0	4019	322	4018	326	4019	960246	2.46335e+06
20140508 0.225732	500	4019	357	4018	385	4018	960250	2.46335e+06
20140508 0.225733	0	4019	303	4018	406	4019	960360	2.46337e+06
20140508 0.225733	500	4019	298	4018	465	4019	960376	2.46338e+06
20140508 0.225734	0	4019	293	4018	475	4019	960392	2.46338e+06
20140508 0.225734	500	4019	236	4018	476	4018	960412	2.46338e+06
20140508 0.225735	0	4019	336	4018	473	4018	960432	2.46336e+06
20140508 0.225735	500	4019	324	4018	512	4018	960468	2.46334e+06
20140508 0.225736	0	4019	321	4018	682	4018	960538	2.46332e+06
20140508 0.225736	500	4019	50	4018	682	4019	961094	2.46352e+06
20140508 0.225737	0	4020	698	4019	179	4019	961228	2.4635e+06
20140508 0.225737	500	4020	675	4019	223	4019	961248	2.46352e+06
20140508 0.225738	0	4020	672	4019	234	4019	961276	2.46354e+06
20140508 0.225738	500	4020	674	4019	294	4019	961282	2.46354e+06
20140508 0.225739	0	4020	671	4019	305	4019	961284	2.46354e+06
20140508 0.225739	500	4020	675	4019	297	4019	961300	2.46354e+06
20140508 0.22574	500	4020	678	4019	293	4019	961310	2.46355e+06
20140508 0.225741	0	4020	686	4019	256	4019	961344	2.46358e+06
20140508 0.225741	500	4020	683	4019	205	4019	961434	2.46361e+06
20140508 0.225742	0	4020	713	4019	222	4019	961440	2.46361e+06
20140508 0.225742	500	4020	712	4019	220	4020	961454	2.46362e+06
20140508 0.225743	0	4020	697	4019	191	4019	961514	2.46362e+06
20140508 0.225744	0	4020	726	4019	226	4020	961586	2.46367e+06
20140508 0.225744	500	4020	724	4019	261	4020	961590	2.46367e+06
20140508 0.225745	0	4020	669	4019	311	4020	961700	2.46356e+06
20140508 0.225745	500	4020	639	4019	338	4019	961716	2.46357e+06
20140508 0.225746	0	4020	619	4019	327	4019	961760	2.46353e+06
20140508 0.225746	500	4020	625	4019	331	4019	961760	2.46353e+06
20140508 0.225747	0	4020	615	4019	365	4019	961802	2.46354e+06
20140508 0.225747	500	4020	616	4019	641	4019	961840	2.46354e+06
20140508 0.225748	0	4020	606	4019	672	4020	961860	2.46352e+06
20140508 0.225748	500	4020	605	4019	666	4020	961878	2.4635e+06
20140508 0.225749	0	4020	578	4019	660	4020	961950	2.46344e+06
20140508 0.225749	500	4020	559	4019	674	4020	961990	2.4634e+06
20140508 0.22575	0	4020	508	4019	674	4020	962092	2.4633e+06
20140508 0.225751	0	4020	422	4019	570	4020	962494	2.46316e+06
20140508 0.225751	500	4020	426	4019	559	4020	962560	2.4631e+06
20140508 0.225752	0	4020	446	4019	237	4019	962610	2.46309e+06
20140508 0.225752	500	4020	536	4019	210	4020	962642	2.46308e+06
20140508 0.225753	0	4020	546	4019	304	4019	962840	2.46305e+06
20140508 0.225753	500	4020	520	4019	313	4020	962868	2.46306e+06
20140508 0.225754	0	4020	524	4019	311	4020	962876	2.46306e+06
20140508 0.225754	500	4020	476	4019	512	4020	962976	2.46306e+06
20140508 0.225755	0	4020	481	4019	510	4019	963024	2.46307e+06
20140508 0.225755	500	4020	460	4019	510	4020	963064	2.46303e+06
20140508 0.225756	0	4020	458	4019	503	4020	963094	2.46301e+06
20140508 0.225756	500	4020	438	4019	504	4019	963138	2.46297e+06
20140508 0.225757	0	4020	439	4019	499	4019	963146	2.46296e+06
20140508 0.225757	500	4020	438	4019	499	4019	963156	2.46296e+06
20140508 0.225758	500	4020	496	4019	500	4019	963176	2.46296e+06
20140508 0.225759	500	4020	499	4019	499	4019	963190	2.46296e+06
20140508 0.2258	0	4020	487	4019	474	4020	963290	2.46299e+06
20140508 0.2258	500	4020	357	4019	470	4019	963524	2.46296e+06
20140508 0.225801	0	4020	344	4019	458	4020	963594	2.46295e+06
20140508 0.225801	500	4020	333	4019	503	4020	963626	2.46294e+06
20140508 0.225802	0	4020	320	4019	502	4019	963660	2.46294e+06
20140508 0.225803	0	4020	313	4019	511	4020	963696	2.46293e+06
20140508 0.225803	500	4020	394	4019	662	4020	963696	2.46293e+06
20140508 0.225804	0	4020	564	4019	504	4020	963812	2.46293e+06
20140508 0.225804	500	4020	556	4019	461	4020	963928	2.46292e+06
20140508 0.225805	0	4020	556	4019	440	4019	963972	2.46288e+06
20140508 0.225805	500	4020	540	4019	434	4020	964020	2.46284e+06
20140508 0.225806	0	4020	529	4019	483	4019	964068	2.46283e+06
20140508 0.225806	500	4020	485	4019	475	4020	964192	2.46271e+06
20140508 0.225807	0	4020	415	4019	476	4020	964332	2.46265e+06
20140508 0.225807	500	4020	403	4019	428	4020	964454	2.46257e+06
20140508 0.225808	0	4020	401	4019	424	4019	964484	2.46257e+06
20140508 0.225808	500	4020	402	4019	456	4019	964594	2.46262e+06
20140508 0.225809	0	4020	403	4019	433	4020	964666	2.46259e+06
20140508 0.225809	500	4020	403	4019	441	4020	964674	2.46258e+06
20140508 0.22581	0	4020	387	4019	436	4020	964738	2.46258e+06
20140508 0.225811	0	4020	371	4019	442	4020	964782	2.46255e+06
20140508 0.225811	500	4020	383	4019	464	4019	964784	2.46255e+06
20140508 0.225812	0	4020	429	4019	469	4020	964814	2.46252e+06
20140508 0.225812	500	4020	428	4019	436	4019	964886	2.46249e+06
20140508 0.225813	0	4020	428	4019	435	4019	964894	2.46248e+06
20140508 0.225813	500	4020	429	4019	475	4020	964934	2.46245e+06
20140508 0.225814	0	4020	443	4019	473	4020	964942	2.46244e+06
20140508 0.225814	500	4020	443	4019	494	4020	964958	2.46243e+06
20140508 0.225815	0	4020	443	4019	493	4020	964964	2.46242e+06
20140508 0.225816	0	4020	429	4019	456	4020	965036	2.46237e+06
20140508 0.225816	500	4020	429	4019	461	4020	965036	2.46237e+06
20140508 0.225817	0	4020	449	4019	456	4020	965050	2.46237e+06
20140508 0.225817	500	4020	410	4019	464	4020	965094	2.46234e+06
20140508 0.225818	0	4020	436	4019	450	4019	965166	2.46229e+06
20140508 0.225818	500	4020	421	4019	438	4019	965230	2.46225e+06
20140508 0.225819	0	4020	428	4019	438	4020	965234	2.46225e+06
20140508 0.225819	500	4020	448	4019	375	4019	965374	2.46218e+06
20140508 0.22582	0	4020	457	4019	128	4019	965868	2.46194e+06
20140508 0.225821	0	4019	362	4018	591	4019	966188	2.46193e+06
20140508 0.225821	500	4019	357	4018	591	4019	966206	2.46192e+06
20140508 0.225822	0	4019	356	4018	587	4018	966218	2.46192e+06
20140508 0.225822	500	4019	331	4018	557	4018	966396	2.46183e+06
20140508 0.225823	0	4019	324	4018	557	4019	966418	2.46181e+06
20140508 0.225823	500	4019	319	4018	557	4019	966428	2.46181e+06
20140508 0.225824	0	4019	317	4018	555	4018	966436	2.46181e+06
20140508 0.225824	500	4019	309	4018	555	4019	966452	2.46179e+06
20140508 0.225825	500	4019	120	4018	501	4018	967002	2.46138e+06
20140508 0.225826	0	4019	60	4018	498	4019	967140	2.46129e+06
20140508 0.225826	500	4019	99	4018	500	4018	967142	2.46129e+06
20140508 0.225827	0	4019	491	4018	517	4019	967166	2.4613e+06
20140508 0.225827	500	4019	454	4018	494	4018	967286	2.46126e+06
20140508 0.225828	0	4019	473	4018	450	4018	967382	2.46125e+06
20140508 0.225828	500	4019	461	4018	31	4018	968250	2.46151e+06
20140508 0.225829	0	4018	398	4017	361	4018	968320	2.46149e+06
20140508 0.22583	0	4018	461	4017	337	4018	968370	2.46149e+06
20140508 0.22583	500	4018	570	4017	336	4018	968410	2.46145e+06
20140508 0.225831	0	4018	423	4017	320	4017	968756	2.46144e+06
20140508 0.225831	500	4018	402	4017	190	4017	969038	2.46125e+06
20140508 0.225832	0	4018	370	4017	175	4018	969146	2.46116e+06
20140508 0.225832	500	4018	317	4017	219	4018	969290	2.46124e+06
20140508 0.225833	0	4018	297	4017	322	4017	969436	2.46133e+06
20140508 0.225834	0	4018	309	4017	310	4017	969514	2.46133e+06
20140508 0.225834	500	4018	309	4017	277	4018	969592	2.46135e+06
20140508 0.225835	0	4018	320	4017	229	4017	969606	2.46135e+06
20140508 0.225835	500	4018	306	4017	180	4018	969644	2.46136e+06
20140508 0.225836	0	4018	330	4017	130	4017	969752	2.46128e+06
20140508 0.225836	500	4018	319	4017	145	4017	969792	2.46126e+06
20140508 0.225837	0	4018	318	4017	144	4017	969802	2.46127e+06
20140508 0.225837	500	4018	314	4017	131	4017	969838	2.4613e+06
20140508 0.225838	0	4018	281	4017	110	4018	970000	2.4614e+06
20140508 0.225838	500	4018	281	4017	81	4017	970078	2.46139e+06
20140508 0.225839	0	4018	287	4017	35	4017	970190	2.46136e+06
20140508 0.225839	500	4018	291	4017	114	4018	970200	2.46136e+06
20140508 0.22584	0	4018	313	4017	109	4017	970220	2.46136e+06
20140508 0.230001	0	4010	614	4009	103	4010	1.01646e+06	2.45813e+06
20140508 0.073803	500	4028	75	4027	491	4028	715028	2.48862e+06
20140508 0.073918	0	4028	163	4027	10	4027	886406	2.47669e+06
20140508 0.073919	0	4028	239	4027	124	4027	889758	2.47622e+06
20140508 0.073919	500	4028	120	4027	91	4028	890580	2.47592e+06
20140508 0.07392	0	4018	185	4017	16	4017	946872	2.4661e+06
20140508 0.07392	500	4010	614	4009	103	4010	1.01646e+06	2.45813e+06
20140508 0.07392	500	4010	614	4009	103	4010	1.01646e+06	2.45813e+06
20140508 0.081856	500	4010	614	4009	103	4010	1.01646e+06	2.45813e+06
20140508 0.09	500	4011	161	4010	371	4010	1.02041e+06	2.45852e+06
20140508 0.090001	0	4008	146	4006	699	4008	1.02458e+06	2.457e+06
20140508 0.090001	500	4009	211	4006	474	4009	1.02717e+06	2.45641e+06
20140508 0.090002	0	4010	456	4008	33	4009	1.02838e+06	2.45689e+06
20140508 0.090003	0	4010	370	4008	173	4010	1.03069e+06	2.45749e+06
20140508 0.090004	0	4010	109	4009	102	4009	1.03183e+06	2.45706e+06
20140508 0.090004	500	4011	203	4010	2	4010	1.03314e+06	2.45771e+06
20140508 0.090005	0	4011	117	4010	105	4011	1.03392e+06	2.45777e+06
20140508 0.090005	500	4011	115	4010	225	4011	1.03421e+06	2.45766e+06
20140508 0.090006	0	4010	87	4009	136	4010	1.03489e+06	2.45735e+06
20140508 0.090006	500	4010	269	4009	60	4010	1.03525e+06	2.45724e+06
20140508 0.090007	0	4011	62	4010	3	4011	1.03623e+06	2.45714e+06
20140508 0.090007	500	4009	29	4008	54	4009	1.03651e+06	2.45722e+06
