date,code,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
2013-01-06 00:00:00,0.0,10.1,10.26,9.93,10.02,0.010081000000000007,261436810.0,2633796691.0,149526000000.0,186908000000.0,0.017519340022471006,73.42050959,2012/9/30 0:00,2012/10/31 0:00,5.579036828,2.3462175480000003,0.9850527920000001,1.101441621
2013-01-13 00:00:00,0.0,10.05,10.35,9.77,9.82,-0.019960342179895174,871732543.0,8816750564.0,146542000000.0,183177000000.0,0.05841610986788771,71.9550111,2012/9/30 0:00,2012/10/31 0:00,5.467677344,2.2993862430000003,0.965390802,1.0794564690000001
2013-01-20 00:00:00,0.0,9.75,10.41,9.75,10.16,0.03462344069980894,765910415.0,7777271892.0,151615000000.0,189519000000.0,0.05132506557002935,74.44634116,2012/9/30 0:00,2012/10/31 0:00,5.656987147000001,2.3789989069999997,0.9988159529999999,1.116830966
2013-01-27 00:00:00,0.0,10.2,11.04,10.05,10.66,0.04921190360266747,986272749.0,10408052464.0,159077000000.0,198846000000.0,0.06609168832917392,78.10998732,2012/9/30 0:00,2012/10/31 0:00,5.935378253,2.496073971,1.047969587,1.171792344
2013-02-03 00:00:00,0.0,10.66,11.97,10.65,11.95,0.12101171831059876,1030632378.0,11640002282.0,178327000000.0,222909000000.0,0.06906445416061505,87.56221109999998,2012/9/30 0:00,2012/10/31 0:00,6.653628574,2.7981281719999997,1.174786188,1.313592949
2013-02-10 00:00:00,0.0,11.98,12.27,11.06,11.34,-0.05104583368853188,1093331888.0,12812033817.0,169224000000.0,211530000000.0,0.07326610652106083,83.09252504,2012/9/30 0:00,2012/10/31 0:00,6.313988556,2.655295386,1.114818247,1.246539502
2013-02-24 00:00:00,0.0,11.42,11.5,10.0,10.14,-0.10582075650885481,932157900.0,9938486893.0,151317000000.0,189146000000.0,0.06246542758579671,74.29961118,2012/9/30 0:00,2012/10/31 0:00,5.645837511,2.37431002,0.9968473370000001,1.1146297490000001
2013-03-03 00:00:00,0.0,10.21,11.31,10.15,11.17,0.10157723032723132,961550325.0,10267744765.0,166687000000.0,208359000000.0,0.0644352416820148,81.84675990000001,2012/9/30 0:00,2012/10/31 0:00,6.219326047999999,2.615485856,1.098104329,1.227850752
2013-03-10 00:00:00,0.0,10.86,11.31,10.27,10.71,-0.04118178763493041,994843019.0,10752267216.0,159823000000.0,199779000000.0,0.0666660539064465,78.47616401,2012/9/30 0:00,2012/10/31 0:00,5.963203083,2.507775473,1.052882429,1.177285663
2013-03-17 00:00:00,0.0,10.67,10.93,10.11,10.51,-0.01867375423356865,709862911.0,7436789757.0,156838000000.0,196048000000.0,0.04756920640794961,77.01071941,2012/12/31 0:00,2013/3/14 0:00,5.734600965,2.372283054,2.117599441,1.1044868209999998
2013-03-24 00:00:00,0.0,10.44,11.28,10.39,11.06,0.052330418460417194,826865424.0,9000588335.0,165046000000.0,206307000000.0,0.05540959241326661,81.04072258,2012/12/31 0:00,2013/3/14 0:00,6.034695032999999,2.496425619,2.228414306,1.162285079
2013-03-31 00:00:00,0.0,11.13,11.24,9.68,10.13,-0.08408665493126344,758260763.0,7878667524.0,151168000000.0,188960000000.0,0.050812219048938935,74.22627931,2012/12/31 0:00,2013/3/14 0:00,5.527257715,2.286509539,2.041034401,1.064552414
2013-04-07 00:00:00,0.0,10.06,10.2,9.94,10.06,-0.00690980998334545,248499426.0,2500820552.0,150123000000.0,187654000000.0,0.01665237322435603,73.71338982,2012/12/31 0:00,2013/3/14 0:00,5.489065414,2.270710193,2.0269312409999998,1.057196559
2013-04-14 00:00:00,0.0,9.87,10.12,9.7,9.94,-0.011928613943647748,295028555.0,2941013632.0,148332000000.0,185416000000.0,0.019770405824097295,72.83409125,2012/12/31 0:00,2013/3/14 0:00,5.4235884720000005,2.243623768,2.002752761,1.04458567
2013-04-21 00:00:00,0.0,9.94,10.19,9.42,10.14,0.02012166756017386,570413853.0,5565306078.0,151317000000.0,189146000000.0,0.03822436652471302,74.29963462,2012/12/31 0:00,2013/3/14 0:00,5.532720116,2.288769219,2.043051486,1.065604475
